Brand_ID,Brand_Name,Industry,Company_Size,Monthly_Budget,Target_Age,Target_Gender,Preferred_Platform,Preferred_Category,Preferred_Creator_Tier,Preferred_Collab_Type,Max_CPM,Risk_Tolerance,Past_Collab_Count,Preferred_Campaign_Duration,Created_At
BR_00001,(주)헬스케어푸드001,헬스케어,SMB,1300000,35-54,Mixed,Instagram,라이프스타일,나노,제품리뷰,3700.0,낮음,6,6개월,2025-01-25
BR_00002,글로벌패션코스메틱002,패션,SMB,3000000,18-34,Female,Mixed,패션,나노,OOTD협찬,4100.0,낮음,1,1개월,2025-02-01
BR_00003,글로벌교육코퍼레이션003,교육,SMB,2300000,25-44,Mixed,Instagram,교육,마이크로,브랜디드,7300.0,보통,10,1개월,2025-12-02
BR_00004,㈜헬스케어테크004,헬스케어,SMB,1300000,35-54,Mixed,TikTok,라이프스타일,마이크로,제품리뷰,4900.0,보통,4,3개월,2024-10-01
BR_00005,㈜헬스케어홈005,헬스케어,SMB,4300000,35-54,Mixed,Instagram,라이프스타일,매크로,제품리뷰,5500.0,보통,4,3개월,2024-04-05
BR_00006,퓨어뷰티코스메틱006,뷰티,SMB,3700000,18-34,Female,TikTok,뷰티,마이크로,GRWM협찬,4800.0,높음,8,6개월,2024-03-26
BR_00007,㈜생활용품웨어007,생활용품,SMB,3400000,25-44,Female,Instagram,라이프스타일,마이크로,일상PPL,5600.0,보통,8,1개월,2024-09-11
BR_00008,에코게임랩008,게임,SMB,3200000,13-24,Male,YouTube,게임,나노,제품리뷰,4400.0,높음,0,6개월,2025-03-11
BR_00009,에코교육푸드009,교육,SMB,1100000,25-44,Mixed,Instagram,교육,마이크로,브랜디드,5800.0,높음,0,6개월,2024-01-17
BR_00010,글로벌패션트레이딩010,패션,SMB,4700000,18-34,Female,Mixed,패션,나노,OOTD협찬,5800.0,낮음,4,1개월,2024-11-17
BR_00011,퓨어헬스케어플러스011,헬스케어,SMB,3400000,35-54,Mixed,Instagram,라이프스타일,마이크로,제품리뷰,8200.0,보통,1,1개월,2024-03-21
BR_00012,㈜헬스케어홈012,헬스케어,SMB,2100000,35-54,Mixed,YouTube,라이프스타일,나노,제품리뷰,9100.0,보통,0,2주,2024-06-24
BR_00013,모던여행플러스013,여행,SMB,3400000,25-44,Mixed,Mixed,여행,마이크로,협찬리뷰,7700.0,높음,7,1개월,2025-12-08
BR_00014,글로벌교육트레이딩014,교육,SMB,2400000,25-44,Mixed,YouTube,교육,마이크로,브랜디드,2700.0,낮음,0,1개월,2024-01-28
BR_00015,글로벌테크코스메틱015,테크,SMB,3500000,25-44,Male,Mixed,테크,메가,언박싱리뷰,7300.0,높음,1,2주,2024-11-04
BR_00016,모던여행랩016,여행,SMB,1400000,25-44,Mixed,YouTube,여행,마이크로,협찬리뷰,5900.0,보통,10,3개월,2025-05-11
BR_00017,퓨어여행플러스017,여행,SMB,600000,25-44,Mixed,TikTok,여행,마이크로,협찬리뷰,9000.0,보통,7,3개월,2024-02-22
BR_00018,모던피트니스홈018,피트니스,SMB,500000,18-34,Mixed,Mixed,피트니스,메가,챌린지,2800.0,높음,7,6개월,2024-10-24
BR_00019,퓨어뷰티케어019,뷰티,SMB,3600000,18-34,Female,Mixed,뷰티,마이크로,GRWM협찬,5300.0,낮음,6,2주,2025-03-08
BR_00020,㈜헬스케어푸드020,헬스케어,SMB,2500000,35-54,Mixed,Mixed,라이프스타일,마이크로,제품리뷰,6500.0,낮음,5,6개월,2025-10-23
BR_00021,모던피트니스랩021,피트니스,SMB,3300000,18-34,Mixed,TikTok,피트니스,마이크로,챌린지,7700.0,보통,5,1개월,2025-03-24
BR_00022,에코테크테크022,테크,SMB,3700000,25-44,Male,Mixed,테크,마이크로,언박싱리뷰,3800.0,보통,10,3개월,2025-03-02
BR_00023,글로벌피트니스플러스023,피트니스,SMB,3500000,18-34,Mixed,TikTok,피트니스,마이크로,챌린지,8600.0,낮음,8,3개월,2024-05-12
BR_00024,에코식품웨어024,식품,SMB,1700000,18-34,Mixed,YouTube,푸드,마이크로,레시피협찬,3300.0,보통,2,1개월,2024-08-02
